City,State,Population_M,Per_Capita_Income_K,EV_Penetration_Pct,Charging_Infra_Score,Govt_EV_Policy_Score,Avg_Commute_KM,Two_Wheeler_Share_Pct,Air_Quality_Index,score_income,score_infra,score_policy,score_aqi,score_pop,score_2w,Market_Score,Priority,Rank
Kochi,Kerala,0.68,210,7.2,9.0,8.8,11,48,70,0.90,1.00,0.96,0.00,0.00,0.00,67.4,Moderate,1
Coimbatore,Tamil Nadu,1.06,180,6.8,8.5,8.5,12,55,85,0.70,0.92,80,0.07,0.18,0.18,66.2,Moderate,2
Vadodara,Gujarat,2.18,172,5.2,8.1,9.0,14,58,105,0.62,0.85,1.00,0.14,0.75,0.27,65.8,Moderate,3
Chandigarh,Punjab,1.06,195,6.1,8.2,8.0,13,52,95,0.85,0.86,0.67,0.10,0.18,0.11,64.6,Moderate,4
Surat,Gujarat,6.06,168,5.8,7.8,8.5,17,60,120,0.58,0.80,0.85,0.21,1.00,0.33,63.9,Moderate,5
Faridabad,Haryana,1.73,185,5.5,7.5,8.2,21,65,220,0.75,0.76,0.74,0.51,0.67,0.46,63.0,Moderate,6
Visakhapatnam,AP,2.04,165,4.5,7.5,7.8,19,62,90,0.55,0.76,0.62,0.08,0.69,0.37,58.1,Moderate,7
Rajkot,Gujarat,1.39,158,4.8,7.2,8.0,15,62,110,0.48,0.70,0.67,0.16,0.46,0.37,56.1Moderate,8
Indore,MP,2.17,156,4.1,7.1,8.8,16,65,145,0.46,0.67,0.96,0.31,0.74,0.46,55.7,Moderate,9
Nagpur,Maharashtra,2.92,148,3.8,6.8,7.5,20,60,130,0.33,0.63,0.48,0.25,0.88,0.33,50.4,Moderate,10
Nashik,Maharashtra,1.49,145,3.5,6.1,7.2,18,65,135,0.30,0.47,0.37,0.27,0.45,0.46,45.1,Watch,11
Jaipur,Rajasthan,3.46,142,3.2,6.2,8.5,18,68,185,0.27,0.49,0.85,0.56,1.00,0.56,44.6,Watch,12
Patna,Bihar,2.35,110,1.8,4.2,6.5,25,78,240,0.00,0.00,0.11,0.89,0.81,0.80,36.5,Watch,13
Madurai,Tamil Nadu,1.48,130,3.0,5.5,7.5,14,58,80,0.20,0.28,0.48,0.05,0.45,0.27,36.3,Watch,14
Bhopal,MP,1.88,135,2.9,5.5,8.2,15,70,155,0.25,0.28,0.74,0.44,0.62,0.56,36.0,Watch,15
Lucknow,UP,3.72,138,2.8,5.8,7.0,22,72,210,0.28,0.37,0.29,0.71,1.00,0.63,35.8,Watch,16
Agra,UP,1.75,120,2.1,4.8,6.8,23,75,255,0.10,0.12,0.25,1.00,0.68,0.73,35.6,Watch,17
Meerut,UP,1.31,128,2.3,4.9,6.8,19,72,230,0.18,0.14,0.25,0.84,0.43,0.63,34.1,Watch,18
Amritsar,Punjab,1.18,175,4.2,6.8,7.8,16,60,140,0.65,63,0.62,0.29,0.29,0.33,33.5,Watch,19
Varanasi,UP,1.43,112,1.9,4.5,6.2,20,76,265,0.02,0.07,0.00,1.11,0.45,0.70,33.3,Watch,20
